"id";"cpuPercent";"cpuFreq";"ramPercent";"ramBytes";"discoPercent";"discoBytes";"downloadMbps";"uploadMbps"
1;50.9;2201.0;66.0;11329814528.0;54.0;134170914816.0;373.82;27.9
2;16.7;2201.0;66.0;11329826816.0;54.0;134170914816.0;373.82;27.9
3;66.7;2201.0;66.0;11329777664.0;54.0;134170914816.0;373.82;27.9
4;50.0;2201.0;66.0;11329773568.0;54.0;134170914816.0;373.82;27.9
5;87.5;2201.0;66.0;11344437248.0;54.0;134170914816.0;373.82;27.9
6;75.0;2201.0;66.0;11343933440.0;54.0;134170914816.0;373.84;27.91
7;62.5;2201.0;66.0;11343872000.0;54.0;134170914816.0;373.84;27.91
8;75.0;2201.0;66.0;11343384576.0;54.0;134170914816.0;373.84;27.91
9;75.0;2201.0;66.0;11343384576.0;54.0;134170914816.0;373.84;27.91
10;91.7;2201.0;66.0;11343384576.0;54.0;134170918912.0;373.84;27.91
11;100.0;2201.0;66.0;11341537280.0;54.0;134170918912.0;373.85;27.91
12;100.0;2201.0;66.0;11341541376.0;54.0;134170918912.0;373.85;27.91
13;50.0;2201.0;66.0;11341541376.0;54.0;134170918912.0;373.85;27.91
14;62.5;2201.0;66.0;11341414400.0;54.0;134170918912.0;373.85;27.91
15;83.3;2201.0;66.0;11341254656.0;54.0;134170918912.0;373.85;27.91
16;100.0;2201.0;66.0;11341225984.0;54.0;134170918912.0;373.85;27.91
17;100.0;2201.0;66.0;11340931072.0;54.0;134170918912.0;373.85;27.91
18;100.0;2201.0;66.0;11333664768.0;54.0;134170918912.0;373.85;27.91
19;50.0;2201.0;66.0;11333664768.0;54.0;134170918912.0;373.85;27.91
20;87.5;2201.0;66.0;11333664768.0;54.0;134170918912.0;373.85;27.91
21;75.0;2201.0;66.0;11332898816.0;54.0;134170918912.0;373.85;27.91
22;100.0;2201.0;66.0;11332775936.0;54.0;134170918912.0;373.85;27.91
23;100.0;2201.0;66.0;11332169728.0;54.0;134170918912.0;373.85;27.91
24;100.0;2201.0;66.0;11331305472.0;54.0;134170918912.0;373.85;27.91
25;75.0;2201.0;66.0;11330678784.0;54.0;134170918912.0;373.85;27.91
26;75.0;2201.0;66.0;11330236416.0;54.0;134170918912.0;373.85;27.91
27;87.5;2201.0;66.0;11329011712.0;54.0;134170918912.0;373.85;27.91
28;82.4;2201.0;66.0;11318480896.0;54.0;134170918912.0;373.85;27.91
29;87.5;2201.0;66.0;11318394880.0;54.0;134170918912.0;373.85;27.91
30;87.5;2201.0;66.0;11330211840.0;54.0;134170918912.0;373.85;27.91
31;75.0;2201.0;66.0;11329372160.0;54.0;134170918912.0;373.85;27.91
32;62.5;2201.0;66.0;11329191936.0;54.0;134170918912.0;373.85;27.91
