"id";"cpuPercent";"cpuFreq";"ramPercent";"ramBytes";"discoPercent";"discoBytes";"downloadMbps";"uploadMbps";"dataHora"
1;9.6;2304.0;83.0;6965833728.0;41.0;211108372480.0;724.5;33.61;"2025-04-09 12:54:04"
2;3.1;2304.0;83.0;6965567488.0;41.0;211108372480.0;724.5;33.61;"2025-04-09 12:54:04"
3;33.3;2304.0;83.0;6965555200.0;41.0;211108372480.0;724.5;33.61;"2025-04-09 12:54:04"
4;12.5;2304.0;83.0;6965542912.0;41.0;211108372480.0;724.5;33.61;"2025-04-09 12:54:04"
5;12.0;2304.0;83.0;6965473280.0;41.0;211108372480.0;724.5;33.61;"2025-04-09 12:54:04"
6;12.5;2304.0;83.0;6965104640.0;41.0;211108372480.0;724.5;33.61;"2025-04-09 12:54:04"
7;29.4;2304.0;83.0;6965092352.0;41.0;211108372480.0;724.5;33.61;"2025-04-09 12:54:04"
8;18.8;2304.0;83.0;6964936704.0;41.0;211108372480.0;724.5;33.61;"2025-04-09 12:54:04"
9;12.5;2304.0;83.0;6963970048.0;41.0;211108372480.0;724.5;33.61;"2025-04-09 12:54:04"
10;6.2;2304.0;83.0;6963994624.0;41.0;211108376576.0;724.5;33.61;"2025-04-09 12:54:05"
11;14.3;2304.0;83.0;6964105216.0;41.0;211108376576.0;724.5;33.61;"2025-04-09 12:54:05"
12;10.7;2304.0;83.0;6964060160.0;41.0;211108376576.0;724.5;33.61;"2025-04-09 12:54:05"
13;6.2;2304.0;83.0;6964043776.0;41.0;211108376576.0;724.5;33.61;"2025-04-09 12:54:05"
14;6.2;2304.0;83.0;6964043776.0;41.0;211108376576.0;724.5;33.61;"2025-04-09 12:54:05"
15;6.2;2304.0;83.0;6964056064.0;41.0;211108376576.0;724.5;33.61;"2025-04-09 12:54:05"
16;21.2;2304.0;83.0;6972530688.0;41.0;211108376576.0;724.5;33.61;"2025-04-09 12:54:05"
17;12.5;2304.0;83.0;6972289024.0;41.0;211108376576.0;724.5;33.61;"2025-04-09 12:54:05"
18;17.6;2304.0;83.0;6972264448.0;41.0;211108376576.0;724.5;33.61;"2025-04-09 12:54:05"
19;12.5;2304.0;83.0;6972248064.0;41.0;211108376576.0;724.5;33.61;"2025-04-09 12:54:05"
20;25.0;2304.0;83.0;6972088320.0;41.0;211108376576.0;724.5;33.61;"2025-04-09 12:54:05"
21;13.3;2304.0;83.0;6972006400.0;41.0;211108384768.0;724.5;33.61;"2025-04-09 12:54:05"
22;18.8;2304.0;83.0;6971858944.0;41.0;211108384768.0;724.5;33.61;"2025-04-09 12:54:05"
23;17.6;2304.0;83.0;6971826176.0;41.0;211108384768.0;724.5;33.61;"2025-04-09 12:54:05"
24;5.9;2304.0;83.0;6971748352.0;41.0;211108384768.0;724.5;33.61;"2025-04-09 12:54:05"
25;5.9;2304.0;83.0;6971682816.0;41.0;211108384768.0;724.5;33.61;"2025-04-09 12:54:05"
26;10.7;2304.0;83.0;6971674624.0;41.0;211108384768.0;724.5;33.61;"2025-04-09 12:54:05"
27;6.7;2304.0;83.0;6971637760.0;41.0;211108384768.0;724.5;33.61;"2025-04-09 12:54:05"
28;11.1;2304.0;83.0;6971584512.0;41.0;211108384768.0;724.5;33.61;"2025-04-09 12:54:05"
29;6.2;2304.0;83.0;6971539456.0;41.0;211108397056.0;724.5;33.61;"2025-04-09 12:54:05"
30;12.5;2304.0;83.0;6971404288.0;41.0;211108397056.0;724.5;33.61;"2025-04-09 12:54:05"
31;9.7;2304.0;83.0;6971265024.0;41.0;211108397056.0;724.5;33.61;"2025-04-09 12:54:05"
32;12.5;2304.0;83.0;6971260928.0;41.0;211108397056.0;724.5;33.61;"2025-04-09 12:54:05"
33;17.6;2304.0;83.0;6971260928.0;41.0;211108397056.0;724.5;33.61;"2025-04-09 12:54:05"
